,age,cups,where_drink,brew,favorite,additions,dairy,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_a_notes,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_b_notes,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_c_notes,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,coffee_d_notes,prefer_abc,prefer_ad,prefer_overall,total_spend,why_drink,taste,know_source,most_paid,most_willing_to_pay,value_cafe,gender,ethnicity_race
65,45 a 54,More than 4,['At home'],"['Espresso', ' Bean-to-cup machine', ' Pour over']",Espresso,"['Milk', ' dairy alternative', ' or coffee creamer']",['Half and half'],Bold,Somewhat strong,Dark,Full caffeine,8.0,2.0,4.0,2.0,,3.0,2.0,4.0,,3.0,3.0,3.0,,3.0,4.0,2.0,,Coffee B,Coffee D,Coffee B,60 a 80,"['It tastes good', ' I need the ritual', ' I need the caffeine']",Yes,No,8 a 10,10 a 15,No,Male,Hispanic/Latino
66,25 a 34,,"['At home', ' At the office', ' At a cafe']","['Coffee brewing machine (e.g. Mr. Coffee)', ' Cold brew']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",,Chocolatey,Medium,Medium,Full caffeine,,3.0,,4.0,,2.0,,3.0,,,,,,,,,,Coffee A,Coffee A,,,,,,,,,,
67,35 a 44,2,"['On the go', ' At a cafe', ' At the office']",,Latte,"['Sugar or sweetener', ' Milk', ' dairy alternative', ' or coffee creamer', ' No - just black']","['Whole milk', ' Half and half', ' Flavored coffee creamer']",Sweet,Very strong,Medium,Full caffeine,3.0,2.0,2.0,5.0,,2.0,2.0,4.0,,2.0,2.0,4.0,,2.0,2.0,4.0,Blueberries,Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,4 a 6,6 a 8,Yes,Male,White/Caucasian
68,35 a 44,2,['At home'],['Espresso'],Cold brew,['Other'],,Nutty,Somewhat strong,Dark,Full caffeine,5.0,3.0,3.0,,Orange,3.0,,3.0,Nutty,,,,,,,,,,,,,,,,,,,,
69,25 a 34,3,"['At the office', ' At home']","['Pour over', ' French press', ' Espresso', ' Cold brew']",Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer', ' No - just black']",['Skim milk'],Caramalized,Somewhat strong,Medium,Full caffeine,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,25 a 34,1,"['At home', ' At a cafe']","['Pour over', ' Espresso', ' Coffee brewing machine (e.g. Mr. Coffee)', ' Cold brew']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Chocolatey,Somewhat strong,Medium,Full caffeine,5.0,2.0,3.0,3.0,,3.0,2.0,3.0,,1.0,2.0,3.0,,2.0,4.0,4.0,,Coffee A,Coffee D,Coffee D,More then 100,['I need the ritual'],Yes,No,8 a 10,10 a 15,No,Male,White/Caucasian
71,25 a 34,2,"['At the office', ' On the go']",,Iced coffee,"['Milk', ' dairy alternative', ' or coffee creamer']",['Half and half'],Caramalized,Very strong,Light,Full caffeine,8.0,4.0,3.0,5.0,,3.0,4.0,1.0,,5.0,3.0,2.0,,2.0,2.0,4.0,,Coffee A,Coffee A,Coffee A,40 a 60,"['It tastes good', ' I need the caffeine']",Yes,Yes,8 a 10,10 a 15,No,Male,White/Caucasian
72,35 a 44,2,['At home'],['Espresso'],Other,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Floral,Somewhat strong,Light,Full caffeine,9.0,2.0,4.0,5.0,,4.0,2.0,1.0,,5.0,1.0,1.0,,1.0,5.0,5.0,,Coffee A,Coffee A,Coffee A,,,,,,,,,
73,18 a 24,4,['At home'],"['Coffee brewing machine (e.g. Mr. Coffee)', ' Cold brew']",Cold brew,"['No - just black', ' Sugar or sweetener', ' Milk', ' dairy alternative', ' or coffee creamer']",['Flavored coffee creamer'],Sweet,Medium,Light,Full caffeine,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,25 a 34,2,"['At home', ' At the office']","['Espresso', ' Pour over']",Cappuccino,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Oat milk'],Fruity,Somewhat strong,Light,Full caffeine,9.0,2.0,3.0,3.0,Fruity,3.0,2.0,3.0,"Balanced, smooth",2.0,4.0,3.0,"Mild fruity, smooth finish",1.0,4.0,4.0,Bright and fruity,Coffee C,Coffee D,Coffee D,40 a 60,['It tastes good'],Yes,Yes,15 a 20,15 a 20,No,Male,
75,25 a 34,2,"['At home', ' At a cafe', ' On the go']","['Pour over', ' French press', ' Espresso', ' Coffee brewing machine (e.g. Mr. Coffee)']",Pourover,"['Milk', ' dairy alternative', ' or coffee creamer']",['Half and half'],Nutty,Somewhat strong,Light,Full caffeine,7.0,2.0,5.0,5.0,"Nutty, Earthy",5.0,1.0,2.0,Chocolate,4.0,2.0,4.0,"Citrus, Floral",3.0,3.0,3.0,"Berries, Fruity, Balanced",Coffee A,Coffee A,Coffee A,80 a 100,"['It tastes good', ' I need the ritual', ' I need the caffeine', ' It makes me go to the bathroom']",Yes,Yes,10 a 15,10 a 15,No,Male,White/Caucasian
76,45 a 54,2,"['At home', ' At the office']","['Pour over', ' French press']",Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer']","['Half and half', ' Whole milk']",Chocolatey,Medium,Medium,Full caffeine,6.0,2.0,4.0,4.0,,3.0,3.0,4.0,,4.0,2.0,1.0,,1.0,5.0,5.0,,Coffee A,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,8 a 10,8 a 10,Yes,Male,White/Caucasian
77,25 a 34,2,"['At home', ' At a cafe', ' On the go']","['Pour over', ' French press', ' Espresso', ' Coffee brewing machine (e.g. Mr. Coffee)', ' Cold brew']",Pourover,['No - just black'],,Fruity,Very strong,Light,Full caffeine,8.0,3.0,4.0,4.0,"Caramel, Starfruit",2.0,2.0,3.0,"Baking chocolate, cream",3.0,2.0,3.0,"Cinnamon, Demerara sugar, black pepper",4.0,5.0,4.0,Green apple,Coffee A,Coffee D,Coffee D,40 a 60,['It tastes good'],Yes,Yes,8 a 10,10 a 15,Yes,Male,White/Caucasian
78,35 a 44,1,['At home'],['French press'],Cold brew,"['Milk', ' dairy alternative', ' or coffee creamer']",['Oat milk'],Chocolatey,Medium,Medium,Full caffeine,6.0,2.0,2.0,4.0,Nice and light. Would drink without cream.,2.0,2.0,5.0,"More depth of flavor than A. Chocolate, perhaps",3.0,4.0,2.0,Tastes a little like garbage.,3.0,4.0,1.0,Tastes like lemon garbage.,Coffee B,Coffee A,Coffee B,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,Yes,6 a 8,6 a 8,Yes,Female,White/Caucasian
79,18 a 24,2,"['At home', ' At a cafe']",['Pour over'],Pourover,"['Milk', ' dairy alternative', ' or coffee creamer']",['Coffee creamer'],Nutty,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,,4.0,2.0,3.0,,3.0,3.0,3.0,,1.0,5.0,2.0,,Coffee C,Coffee A,Coffee C,20 a 40,"['It tastes good', ' I need the ritual', ' It makes me go to the bathroom']",Yes,Yes,6 a 8,6 a 8,Yes,Male,
80,35 a 44,2,['At home'],"['Espresso', ' Pour over']",Espresso,['No - just black'],,Fruity,Somewhat strong,Nordic,Full caffeine,9.0,3.0,3.0,3.0,,4.0,1.0,2.0,,3.0,2.0,3.0,,1.0,4.0,4.0,,Coffee A,Coffee D,Coffee D,More then 100,['It tastes good'],Yes,Yes,15 a 20,More than 20,Yes,Male,White/Caucasian
81,25 a 34,3,"['At the office', ' At home']","['Espresso', ' Pour over']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer']",['Skim milk'],Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,2.0,5.0,5.0,,3.0,4.0,2.0,,3.0,3.0,5.0,,1.0,5.0,4.0,,Coffee C,Coffee A,Coffee C,40 a 60,['It tastes good'],Yes,Yes,10 a 15,More than 20,No,Male,White/Caucasian
82,25 a 34,2,"['At home', ' At the office']",['Coffee extract (e.g. Cometeer)'],Americano,['No - just black'],,Full Bodied,Medium,Dark,Full caffeine,3.0,2.0,5.0,2.0,,3.0,2.0,4.0,,4.0,3.0,3.0,,3.0,4.0,2.0,,Coffee B,Coffee D,Coffee B,More then 100,"['I need the caffeine', ' It tastes good']",Yes,Yes,8 a 10,15 a 20,Yes,Female,Asian/Pacific Islander
83,25 a 34,3,['At home'],['Pour over'],Pourover,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,7.0,3.0,4.0,2.0,"citric, apple, clear",5.0,2.0,2.0,"Charcoal, full body, mud",4.0,3.0,3.0,"Milky, cream, butter",1.0,5.0,5.0,"Fruity, Floral, cherry",Coffee C,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,8 a 10,15 a 20,No,Male,Asian/Pacific Islander
